	user	instance	user_id
370	cpepperell	ecoevo.social	109327308530752389
371	sfoucart	piaille.fr	109309228522897604
372	katestarbird	mstdn.social	109285998160679968
373	tinainalbon	mstdn.social	109332488493321358
374	jespinosa	nerdculture.de	109273787288032205
375	fannycazettes	neuromatch.social	109541274176061364
376	sandrawinters	ecoevo.social	109284209197458501
377	thoerren	ruhr.social	109256044879642335
378	kivaoken	fosstodon.org	109390188748790115
379	seroude	drosophila.social	109268636735985854
380	MaartjeJanse	akademienl.social	109366892386110755
381	oana_albu	mastodon.social	109511438403209428
382	berndweiss	mastodon.social	108236138283380928
383	jonathanmichaels	qoto.org	
384	Andi_Microscopy	mastodon.social	109364963757540824
385	nicholson	mastodon.lawprofs.org	109339724055780599
386	luis_de_sousa	mastodon.social	419324
387	feddersena	fediscience.org	109313941067791753
388	nepearce	fediscience.org	109304223562726689
389	qcloet	toot.wales	109297479052238597
390	KrisRenn	edumasto.org	109332315540599847
391	jongleur	fediscience.org	109275477731658057
392	Computingnature	neuromatch.social	110459381562309441
393	dpaczesniak	mastodon.online	109273661870862180
394	atchechmedjiev	sigmoid.soci	
395	fergusmcneill	mastodon.scot	109292749589851734
396	AedinCulhane	genomic.social	109881394056099937
397	hobofan	toot.berlin	31967
398	richarddmorey	tech.lgbt	109293757707214742
399	alittleroad	hcommons.social	109818591058645428
400	asternmichelle	fediscience.org	109293169298687399
401	annettamallon	aus.social	109302158642579825
402	reusch_nico	genomic.social	109382232962674744
403	mmazurek	infosec.exchange	109365129252130861
404	SK_voltage	mstdn.science	109304647466422299
405	uschmidt83	sigmoid.social	109412283201388255
406	schwilk	fediscience.org	108200596319890976
407	MarshPrincess	mastodon.social	109248001619312728
408	imaddowzimet	fosstodon.org	109288948719259642
409	dsp	mas.to	108194594365849311
410	CharlesDriverAU	mastodon.social	109244704927102872
411	rjgsousa	masto.ai	109372999969624848
412	cmdoret	fosstodon.org	109293357416240279
413	maria_savona	sigmoid.social	109293016976487447
414	JoachimFuchs	fediscience.org	109276055651878007
415	logological	mastodon.social	311457
416	oryan	fediscience.org	109341388658974501
417	dragotakes	mastodon.social	109258314135440933
418	andrei_chiffa	mastodon.social	39843
419	nsitaropoulos	mastodon.top	109415785483464914
420	BaharTuncgenc	mastodon.world	109397902729457896
421	DrBHathaway	scholar.social	54718
422	simone__marini	genomic.social	109445984222022140
423	ptaszynski	sigmoid.social	109294964310249223
424	BenStauch	scholar.social	36414
425	vnoel	mastodon.social	109244410421482037
426	sascha_wolfer	fediscience.org	109331435975533667
427	cassmos	masto.ai	109374327605280208
428	katharine_v	mastodon.online	109263865841125814
429	ritahamad	sciences.social	109366027651620763
430	leonpalafox	sigmoid.social	109304989898815174
431	koch_means_cook	fediscience.org	109302205756272939
432	isdoighliom	mastodon.ie	109296612959013063
433	nathanjbkraft	ecoevo.social	109288684548483959
434	joergdietrich	mastodon.social	109315656382630523
435	olihammond	mas.to	109302242340862616
436	linkki	mas.to	109261448938024058
437	TraciInFinland	scholar.social	108203483339882220
438	pruvisto	graz.social	109247804480165314
439	hhesterm	mastodon.online	109296971781499449
440	sammarieh	mastodon.social	110236387427590269
441	MartinStendel	fediscience.org	109247479826417131
442	nik	aoir.social	109955088132044114
443	amirgo	ohai.social	109362875643827640
444	argamon	mastodon.social	109215564672345722
445	kosgour	libretooth.gr	109264353406147434
446	fischuu	genomic.social	109303152142125738
447	shaananc	mastodon.lawprofs.org	109377646984134359
448	heethoff	darmstadt.social	109382073050962170
449	LeeGrimesLab	genomic.social	109546414818910703
450	ullrichdittler	freiburg.social	109326821393258221
451	ev_fedorenko	mstdn.science	109418130964921621
452	jbrennecke	drosophila.social	109287773164873756
453	willemsen_anouk	ecoevo.social	109602512142301207
454	laurenjade	mastodon.online	109298174179502633
455	amtyers	ecoevo.social	109291828235170580
456	norap	mstdn.science	109366241522337085
457	johanlinaker	mastodon.se	
458	MRIman_9	mas.to	109276379356176403
459	jimmcquaid	mastodon.social	109253670500603340
460	jacobjohn	mas.to	109301302934859244
461	profclark	mastodon.online	109295707600068142
462	richardtunney	mastodon.world	109375013076284464
463	ulrikekrause	sciences.social	109381614721818925
464	jake_wittman	mastodon.social	109245523610142399
465	PatLazarevic	sciences.social	109392874676018162
466	cmbrierley	fediscience.org	109315052680445726
467	JenniferWhyte	mastodon.world	109374034870907324
468	Palomaviejo	kolektiva.social	109286135828228962
469	ChrisBataille	fediscience.org	109332122943339869
470	w_pettersson	toot.cat	257592
471	owlyph	cosocial.ca	110197732302322661
472	Gav_Armstrong	mastodon.social	108197198493223887
473	Maudbo	mstdn.social	109295813467155974
474	Weitemier	ecoevo.social	109378784589437945
475	likask	fosstodon.org	109302471442998543
476	AlexWiegmann	zirk.us	109383571733371558
477	alisonandrew1	econtwitter.net	109290985837582083
478	jarek	scicomm.xyz	26625
479	heinivaisanen	mstdn.social	109269231204641079
480	johow	vis.social	109310416680917500
481	Joan_Duprez	neuromatch.social	109523488517859987
482	dariloops	genomic.social	109370893176177868
483	pavlo_lutsik	genomic.social	109500624999237740
484	FabianPfeffer	sciences.social	109351242163439491
485	arvind	vis.social.	
486	ruudhortensius	fediscience.org	109262933524929487
487	alexshill	astrodon.social	109304790297658633
488	iebagci	infosec.exchange.	
489	MarkZwolinski	mastodonapp.uk	109304704985862327
490	memory_control	fediscience.org	109308234615475794
491	barrycsmith	fediscience.org	109292693166177153
492	Codename5281	piaille.fr	109364649204515532
493	erikbitzek	social.mpdl.mpg.de	109716280105769483
494	sonialf	aus.social	109290660196047551
495	booradleyboo	mastodon.ie	109268332373838749
496	iceadvice	fediscience.org	109309670170565605
497	dibsroy86	mastodon.online	109299612231424237
498	jessvogt	mastodon.online	109297826823146913
499	alexdonath	genomic.social	109305079348886842
500	jo_bailey	mastodon.nz	109273140740095879
501	stefanherzog	fediscience.org	109330963633757075
502	lizziegadd	mastodon.online	109295889405765740
503	MKFlugge	mastodon.world	109474754947932093
504	brendam	aus.social	109386400954369597
505	DianvanderwalDr	mastodon.au	109351100529570928
506	andeekaplan	mastodon.social	109257367037759392
507	richardneher	mstdn.science	109319579803680842
508	jjdeveg	mastodonapp.uk	109536685363954297
509	andreanini	mastodon.social	110317896609842314
510	riederb	mastodon.top	109269121867694409
511	carolinlawrence	sigmoid.social	109540160062748092
512	DrLisaWheildon	aus.social	109265066470119417
513	rmoreno_ayala	genomic.social	109313709707656028
514	thkania	ruhr.social	108199761518839842
515	koronkebitch	types.pl	
516	sebdes	sigmoid.social	109420520987125718
517	HarrietAHunt	toot.community	109303209279037826
518	demosthenes	mastodon.lol	
519	richlucas	mastodon.social	109246920412223781
520	andrewwlegan	scicomm.xyz	109277969367572487
521	askennard	qoto.org	
522	achillebro	mstdn.science	109301831263331051
523	jonathanstray	mastodon.social	109332227720648466
524	amyryall	mas.to	109405914788096323
525	schweigera	ecoevo.social	109306703083718684
526	elakdawalla	wandering.shop	12941
527	thklose	mastodon.cloud	20412
528	ivanflis	mastodon.online	109274121589606361
529	ct2034	chaos.social	109290255099376431
530	wjarek	sfba.social	109372248327350376
531	ratamero	idlethumbs.social	77
532	borislenhard	genomic.social	109365281468137020
533	SchnittGetsReal	astrodon.social	109366317251444992
534	RachelAldred	mstdn.social	108194534188150697
535	chloology	mas.to	109261811343537831
536	srsandve	mas.to	109275518534203111
537	diver	mastodon.social	63732
538	JanaHasenacker	mstdn.social	109625407503290263
539	archaeozoo	fediscience.org	109297517434782925
540	robsyme	genomic.social	109320049313513189
541	jameslove	hachyderm.io	109365357568252629
542	idavydov	mstdn.science	109386752711478731
543	mcaleerp	mastodon.social	109251417818943012
544	pauline_franz	mastodon.social	109298782984336143
545	hghwang	nerdculture.de	109441385146826282
546	InekeWessel	akademienl.social	109280787942183151
547	bspahh	sciencemastodon.com	109304367191310659
548	artorivs	sigmoid.social	109801900476354723
549	silkesachse	drosophila.social	109290508068241608
550	sam	assemblag.es	109325018306841031
551	ozyurek_a	sciences.social	109627625877052449
552	sparsity	mastodon.social	108144044154040123
553	ik	mastodon.sdf.org	109559360488102897
554	reinholdleinfelder	mastodon.social	108217404260696092
555	AlmaTostmann	mastodon.nl	109364220835530966
556	bbyrne	techhub.social	109316732455391489
557	john_zinda	sciences.social	110171640236858498
558	KeasdenKate	mastodon.sdf.org	109364441646718573
559	wentasah	mas.to	109323901754127167
560	aoifemcl	ecoevo.social	109354579156772663
561	mrosen	fediscience.org	109264362388257787
562	Maximilian_Mayer	mastodon.social	109248587194780462
563	aaronclauset	fediscience.org	109297670485309559
564	sangomahanty	aus.social	109253447538698435
565	aspuru	mastodon.social	108132610055024720
566	DaveLawson101	mstdn.science	109304661423871199
567	larshubatsch	mas.to	109293078942378570
568	Hauke	social.mpdl.mpg.de	109530363234689211
569	cahirokane	mas.to	109325499940166990
570	Letxuga007	fosstodon.org	109313865552811131
571	AEloseguiArtola	mas.to	109528421620565750
572	sMarten_Winter	ecoevo.social	109483648703055158
573	ekfarran	mastodon.social	109841586746961353
574	focx	scholar.social	108196995339865993
575	hagen_oskar	scholar.social	101899
576	sdurabernal	fediscience.org	109305054452361937
577	spiralizing	masto.ai	109390506426909980
578	wladimirfischer	wien.rocks	109273608342025916
579	traverhart	genomic.social.	
580	DrDree	mastodon.social	109246802119228592
581	ProfRArmitage	mstdn.social	109314809683924996
582	stefanhartmann	fediscience.org	109291956822106956
583	danbose	mstdn.social	109273095552290106
584	MargotHodson	climatejustice.social	109301925947330003
585	ellessenne	mastodon.social	109657791676576689
586	sharpville	mastodon.me.uk	108193569589588156
587	rcasero	sigmoid.social	109512984768836662
588	simongrund	sciences.social	109364762169286862
589	marahvistendahl	journa.host	109307373189474370
590	alteraf	mastodon.green	109287146165090558
591	fridgen	mastodon.acm.org	109783128381970896
592	alcmelis	mas.to	109258765299274425
593	mikebyrne_phd	techhub.social	109367390994668035
594	omarcheta	hcommons.social	109309795767671622
595	rensbod	mastodon.nl	109371935631990062
596	hans_opdebeeck	hostux.social	109528581261228376
597	NivReggev	fediscience.org	109264674156792078
598	femke	mastodonapp.uk	109290366828795784
599	mirela	mastodon.social	10281
600	lingtax	fosstodon.org	109537319867561379
